"V1","V2","V3","V4"
2.45474023704395e-05,0,0,0
2.4080566118891e-05,2.29029630729671e-11,0,0
2.36184638364542e-05,9.16118522918684e-11,0,0
2.31610955231291e-05,2.06126667656704e-10,0,0
2.27084611789158e-05,3.66447409167474e-10,0,0
2.22605608038141e-05,5.72574076824178e-10,0,0
2.18173943978242e-05,8.24506670626816e-10,0,0
2.1378961960946e-05,1.12224519057539e-09,0,0
2.09452634931795e-05,1.4657896366699e-09,0,0
2.05162989945248e-05,1.85514000891034e-09,0,0
2.00920684649817e-05,2.29029630729671e-09,0,0
1.96725719045504e-05,2.77125853182902e-09,0,0
1.92578093132308e-05,3.29802668250726e-09,0,0
1.8847780691023e-05,3.87060075933144e-09,0,0
1.84424860379268e-05,4.48898076230155e-09,0,0
1.80419253539424e-05,5.1531666914176e-09,0,0
1.76460986390696e-05,5.86315854667958e-09,0,0
1.72550058933086e-05,6.6189563280875e-09,0,0
1.68686471166594e-05,7.42056003564135e-09,0,0
1.64870223091218e-05,8.26796966934113e-09,0,0
1.6110131470696e-05,9.16118522918684e-09,0,0
1.57379746013818e-05,1.01002067151785e-08,0,0
1.53705517011794e-05,1.10850341273161e-08,0,0
1.50078627700888e-05,1.21156674655996e-08,0,0
1.46499078081098e-05,1.31921067300291e-08,0,0
1.42966868152426e-05,1.43143519206044e-08,0,0
1.3948199791487e-05,1.54824030373258e-08,0,0
1.36044467368432e-05,1.6696260080193e-08,0,0
1.32654276513112e-05,1.79559230492062e-08,0,0
1.29311425348908e-05,1.92613919443653e-08,0,0
1.26015913875822e-05,2.06126667656704e-08,0,0
1.22767742093852e-05,2.20097475131214e-08,0,0
1.19566910003e-05,2.34526341867183e-08,0,0
1.16413417603266e-05,2.49413267864612e-08,0,0
1.13307264894648e-05,2.647582531235e-08,0,0
1.10248451877148e-05,2.80561297643847e-08,0,0
1.07236978550764e-05,2.96822401425654e-08,0,0
1.04272844915498e-05,3.1354156446892e-08,0,0
1.01356050971349e-05,3.30718786773645e-08,0,0
9.84865967183178e-06,3.4835406833983e-08,0,0
9.56644821564034e-06,3.66447409167474e-08,0,0
9.28897072856061e-06,3.84998809256577e-08,0,0
9.01622721059261e-06,4.0400826860714e-08,0,0
8.74821766173633e-06,4.23475787219162e-08,0,0
8.48494208199176e-06,4.43401365092643e-08,0,0
8.22640047135892e-06,4.63785002227584e-08,0,0
7.9725928298378e-06,4.84626698623984e-08,0,0
7.72351915742839e-06,5.05926454281844e-08,0,0
7.47917945413071e-06,5.27684269201162e-08,0,0
7.23957371994474e-06,5.4990014338194e-08,0,0
7.0047019548705e-06,5.72574076824178e-08,0,0
6.77456415890797e-06,5.95706069527875e-08,0,0
6.54916033205717e-06,6.19296121493031e-08,0,0
6.32849047431808e-06,6.43344232719646e-08,0,0
6.11255458569072e-06,6.67850403207721e-08,0,0
5.90135266617507e-06,6.92814632957255e-08,0,0
5.69488471577114e-06,7.18236921968249e-08,0,0
5.49315073447894e-06,7.44117270240701e-08,0,0
5.29615072229845e-06,7.70455677774614e-08,0,0
5.10388467922968e-06,7.97252144569985e-08,0,0
4.91635260527264e-06,8.24506670626816e-08,0,0
4.73355450042731e-06,8.52219255945106e-08,0,0
4.5554903646937e-06,8.80389900524856e-08,0,0
4.38216019807182e-06,9.09018604366065e-08,0,0
4.21356400056165e-06,9.38105367468733e-08,0,0
4.0497017721632e-06,9.67650189832861e-08,0,0
3.89057351287647e-06,9.97653071458447e-08,0,0
3.73617922270146e-06,1.02811401234549e-07,0,0
3.58651890163818e-06,1.059033012494e-07,0,0
3.44159254968661e-06,1.09041007190396e-07,0,0
3.30140016684676e-06,1.12224519057539e-07,0,0
3.16594175311863e-06,1.15453836850827e-07,0,0
3.03521730850222e-06,1.18728960570262e-07,0,0
2.90922683299753e-06,1.22049890215842e-07,0,0
2.78797032660456e-06,1.25416625787568e-07,0,0
2.67144778932331e-06,1.2882916728544e-07,0,0
2.55965922115378e-06,1.32287514709458e-07,0,0
2.45260462209597e-06,1.35791668059622e-07,0,0
2.35028399214988e-06,1.39341627335932e-07,0,0
2.25269733131551e-06,1.42937392538388e-07,0,0
2.15984463959286e-06,1.4657896366699e-07,0,0
